Pond,SampleID,Date,Time In,Depth,Temperature,DO,Conductivity,Turbidity,Num
T106,T106_0,7/25/2023,9:15,0,24.2,98.2,513,15.3,1
T106,T106_10,7/25/2023,9:15,10,24.2,98.3,513,15.3,1
T106,T106_20,7/25/2023,9:15,20,24.2,98.3,513,15.3,1
T106,T106_30,7/25/2023,9:15,30,24.2,98.3,513,15.3,1
T106,T106_40,7/25/2023,9:15,40,24.2,98.8,520,16.24,1
T106,T106_50,7/25/2023,9:15,50,24.1,99.5,519,16.3,1
T106,T106_60,7/25/2023,9:15,60,24.1,99.7,519,15.85,1
T106,T106_70,7/25/2023,9:15,70,24.1,98.2,519,15.08,1
T106,T106_80,7/25/2023,9:15,80,24.1,97.8,519,15.12,1
T106,T106_90,7/25/2023,9:15,90,24,88.9,524,17.34,1
T106,T106_100,7/25/2023,9:15,100,23.6,64.9,568,13.34,1
T106,T106_110,7/25/2023,9:15,110,23.2,51.6,594,12.45,1
T106,T106_120,7/25/2023,9:15,120,23,43.9,607,13.06,1
T106,T106_130,7/25/2023,9:15,130,22.8,26.3,618,13.03,1
T106,T106_140,7/25/2023,9:15,140,22.6,7,628,15.36,1
T106,T106_150,7/25/2023,9:15,150,22.3,3.9,640,12.03,1
T106,T106_160,7/25/2023,9:15,160,22.2,2.6,645,13.54,1
T107,T107_0,7/25/2023,10:10,0,23.8,88.3,581,12.75,1
T107,T107_10,7/25/2023,10:10,10,23.9,89.3,586,11.81,1
T107,T107_20,7/25/2023,10:10,20,23.9,90,585,12.31,1
T107,T107_30,7/25/2023,10:10,30,23.8,90,588,12.13,1
T107,T107_40,7/25/2023,10:10,40,23.8,92.7,587,11.11,1
T107,T107_50,7/25/2023,10:10,50,23.8,92.9,591,11.94,1
T107,T107_60,7/25/2023,10:10,60,23.7,90.3,587,12.79,1
T107,T107_70,7/25/2023,10:10,70,23.7,84.6,593,13.03,1
T107,T107_80,7/25/2023,10:10,80,23.6,80.8,591,13.32,1
T107,T107_90,7/25/2023,10:10,90,23.4,83.7,607,11.38,1
T107,T107_100,7/25/2023,10:10,100,23.3,85.1,612,11.48,1
T107,T107_110,7/25/2023,10:10,110,23.3,83.9,621,12.55,1
T107,T107_120,7/25/2023,10:10,120,23.2,70.3,625,20.35,1
T109,T109_0,7/25/2023,10:45,0,24,139.4,644,10.62,1
T109,T109_10,7/25/2023,10:45,10,23.9,143.5,635,10.92,1
T109,T109_20,7/25/2023,10:45,20,23.9,144.1,636,11.86,1
T109,T109_30,7/25/2023,10:45,30,23.6,140.6,637,15.08,1
T109,T109_40,7/25/2023,10:45,40,23.5,129,633,14.91,1
T109,T109_50,7/25/2023,10:45,50,23.5,128.3,632,15.44,1
T109,T109_60,7/25/2023,10:45,60,23.4,123.8,634,15.1,1
T109,T109_70,7/25/2023,10:45,70,23.2,114.1,637,21.51,1
T109,T109_80,7/25/2023,10:45,80,23.1,100.2,637,25,1
T109,T109_90,7/25/2023,10:45,90,23.1,97.2,639,32.1,1
T109,T109_100,7/25/2023,10:45,100,23,55.3,644,25.98,1
T109,T109_110,7/25/2023,10:45,110,22.8,30.2,657,23.96,1
